id;title;author_id;subject_id;content;created_at
1;¿Alguien me ayuda con el límite de sucesiones? No entiendo la demostración;1;1;Hola, estoy estudiando para el parcial y no logro entender la demostración del límite de sucesiones por epsilon. Alguien podría explicarlo con un ejemplo sencillo? Desde ya gracias.;2024-03-10 10:30:00
2;Comparto apunte de Álgebra - Matrices y Determinantes;2;2;Buenas, les comparto un resumen que hice sobre matrices, determinantes y sus propiedades. Tiene ejercicios resueltos. Espero que les sirva!;2024-03-12 15:20:00
3;Clase práctica de Física I - Problemas de cinemática;3;3;Subo los problemas resueltos de la clase práctica de cinemática. Incluye movimiento rectilíneo uniforme, uniformemente variado y caída libre. Cualquier duda consulten.;2024-03-15 09:45:00
4;Tips para rendir el parcial de Inglés I;4;4;Comparto algunos consejos que me sirvieron para rendir el parcial: vocabulario técnico, tiempos verbales más usados y comprensión de textos. Éxitos a todos!;2024-04-01 18:30:00
5;Duda sobre estructuras de datos: ¿diferencia entre pila y cola?;5;6;Alguien me podría explicar con ejemplos cuándo conviene usar una pila y cuándo una cola? Entiendo la teoría pero me cuesta aplicarlo en problemas reales.;2024-04-05 11:00:00
6;Recurso de Arquitectura - Apunte sobre pipelining;6;7;Hice un resumen sobre pipelining en procesadores: etapas, hazards y cómo se resuelven. También hay ejemplos de ciclo de instrucciones. Espero que ayude.;2024-04-10 14:15:00
7;Alguien tiene el TP de Sistemas y Procesos resuelto?;7;8;Estoy trabado con el trabajo práctico de análisis de procesos de negocio. Alguien que lo haya resuelto podría compartir su enfoque? No pido el código, solo orientación.;2024-04-12 20:30:00
8;Ingeniería y Sociedad - Trabajo práctico sobre ética profesional;8;11;Buenas, estamos armando el TP sobre ética en ingeniería. Comparto la bibliografía que encontramos y el esquema que pensamos seguir. Acepto sugerencias!;2024-04-15 08:00:00
9;Duda con series de Fourier - Análisis Matemático II;9;9;No entiendo cómo calcular los coeficientes de la serie de Fourier para funciones pares e impares. Alguien tiene algún truco para recordar las fórmulas?;2024-04-18 16:45:00
10;Clase de Física II - Campo eléctrico resumen;10;10;Subo un resumen de campo eléctrico: ley de Coulomb, campo de distribuciones continuas, líneas de campo y potencial eléctrico. Incluye ejercicios tipo parcial.;2024-04-20 12:00:00
11;Inglés II - Vocabulario técnico para sistemas;11;12;Comparto un glosario de términos técnicos en inglés orientado a sistemas de información. Útil para leer documentación y artículos.;2024-04-22 19:00:00
12;Sintaxis y Semántica - Gramática para el TP;12;13;Hola, alguien tiene la gramática del TP resuelta? Tengo dudas con la implementación de la tabla de parsing. Agradezco cualquier ayuda.;2024-04-25 10:15:00
13;Duda sobre pattern matching en Haskell;13;14;Estoy aprendiendo Haskell y no termino de entender cómo funciona el pattern matching en funciones recursivas. Podrían darme algún ejemplo claro?;2024-04-28 17:30:00
14;Sistemas Operativos - Ejercicios de planificación resueltos;14;15;Comparto ejercicios resueltos de planificación de procesos: FCFS, SJF, Round Robin y prioridades. Incluye diagramas de Gantt paso a paso.;2024-05-01 09:00:00
15;Análisis de Sistemas - Diagramas de secuencia;15;16;Buenas, alguien tiene algún ejemplo de diagrama de secuencia para un caso de uso complejo? Me cuesta modelar las interacciones con múltiples alternativas.;2024-05-03 21:00:00
16;Probabilidad - Ejercicios de combinatoria;16;17;Subo una guía de ejercicios de combinatoria resueltos: permutaciones, combinaciones, variaciones y aplicaciones a probabilidad. Espero que sirva!;2024-05-05 14:00:00
